beta,weight,ElnfX
0.005300,0.027152,-469306.9314
0.027712,0.062254,-461701.5275
0.067184,0.095159,-456626.4437
0.122298,0.124629,-454568.5544
0.191062,0.149596,-453339.1069
0.270992,0.169157,-452585.6219
0.359198,0.182603,-452088.2481
0.452494,0.189451,-451750.8842
0.547506,0.189451,-451532.0686
0.640802,0.182603,-451378.2553
0.729008,0.169157,-451268.5508
0.808938,0.149596,-451190.8131
0.877702,0.124629,-451137.1942
0.932816,0.095159,-451095.4386
0.972288,0.062254,-451098.7220
0.994700,0.027152,-451080.0487
