beta,weight,ElnfX
0.005300,0.027152,-469116.5377
0.027712,0.062254,-461712.3115
0.067184,0.095159,-456633.8538
0.122298,0.124629,-454566.6501
0.191062,0.149596,-453350.2260
0.270992,0.169157,-452598.4232
0.359198,0.182603,-452095.7758
0.452494,0.189451,-451759.7996
0.547506,0.189451,-451535.9138
0.640802,0.182603,-451381.7470
0.729008,0.169157,-451271.2650
0.808938,0.149596,-451191.6387
0.877702,0.124629,-451141.2214
0.932816,0.095159,-451111.3170
0.972288,0.062254,-451093.9306
0.994700,0.027152,-451076.2789
