beta,weight,ElnfX
0.005300,0.027152,-469551.0742
0.027712,0.062254,-461742.9002
0.067184,0.095159,-456614.6534
0.122298,0.124629,-454539.5597
0.191062,0.149596,-453333.0417
0.270992,0.169157,-452590.5121
0.359198,0.182603,-452090.9155
0.452494,0.189451,-451753.0820
0.547506,0.189451,-451533.5647
0.640802,0.182603,-451380.6665
0.729008,0.169157,-451271.4191
0.808938,0.149596,-451195.5331
0.877702,0.124629,-451159.3541
0.932816,0.095159,-451119.5809
0.972288,0.062254,-451093.7116
0.994700,0.027152,-451080.2653
