beta,weight,ElnfX
0.005300,0.027152,-469256.1857
0.027712,0.062254,-461703.3168
0.067184,0.095159,-456625.6002
0.122298,0.124629,-454556.8861
0.191062,0.149596,-453352.4471
0.270992,0.169157,-452601.4254
0.359198,0.182603,-452093.3014
0.452494,0.189451,-451760.1770
0.547506,0.189451,-451539.9674
0.640802,0.182603,-451387.3501
0.729008,0.169157,-451276.1948
0.808938,0.149596,-451202.7751
0.877702,0.124629,-451143.3542
0.932816,0.095159,-451124.2497
0.972288,0.062254,-451076.0794
0.994700,0.027152,-451085.0612
