beta,weight,ElnfX
0.005300,0.027152,-469468.0730
0.027712,0.062254,-461695.8175
0.067184,0.095159,-456630.9469
0.122298,0.124629,-454559.8590
0.191062,0.149596,-453337.2757
0.270992,0.169157,-452587.4801
0.359198,0.182603,-452090.0025
0.452494,0.189451,-451754.5649
0.547506,0.189451,-451533.9754
0.640802,0.182603,-451379.2999
0.729008,0.169157,-451271.8105
0.808938,0.149596,-451192.5052
0.877702,0.124629,-451161.4024
0.932816,0.095159,-451106.1779
0.972288,0.062254,-451093.9779
0.994700,0.027152,-451060.9968
